id,title,title_en,image_url,chapters,publishing,published_from,published_to,score,scored_by,members,favorites,author
1825,Luna Lunatic,Luna Lunatic,https://cdn.myanimelist.net/images/manga/3/6177.jpg,0,False,2000-07-01T00:00:00+00:00,2000-11-01T00:00:00+00:00,6.99,116,398,4,3884
1826,Kimi to Scandal!,,https://cdn.myanimelist.net/images/manga/3/270457.jpg,4,False,2004-04-05T00:00:00+00:00,2005-02-26T00:00:00+00:00,7.27,1784,3305,8,2999
1827,Shaman Warrior,Shaman Warrior,https://cdn.myanimelist.net/images/manga/3/34013.jpg,72,False,2003-12-01T00:00:00+00:00,2006-09-18T00:00:00+00:00,7.3,981,4876,36,2944
1828,Fun Fun Factory,Fun Fun Factory,https://cdn.myanimelist.net/images/manga/3/40602.jpg,22,False,,,6.86,147,389,2,1977
1829,K no Souretsu,,https://cdn.myanimelist.net/images/manga/2/275682.jpg,22,False,1994-01-01T00:00:00+00:00,,7.17,782,2283,49,3061
1830,Yoroshiku Master,Sweet Rein,https://cdn.myanimelist.net/images/manga/2/5958.jpg,12,False,2003-12-10T00:00:00+00:00,2008-12-10T00:00:00+00:00,7.4,1582,3470,22,2682
1831,Dakishimete! Noir,,https://cdn.myanimelist.net/images/manga/3/117347.jpg,6,False,2003-01-01T00:00:00+00:00,,6.86,1624,2688,16,3884
1832,Seigi no Mikata,,https://cdn.myanimelist.net/images/manga/2/88235.jpg,34,False,2004-01-01T00:00:00+00:00,2008-01-01T00:00:00+00:00,7.48,398,1181,19,3195
1833,D no Fuuin,,https://cdn.myanimelist.net/images/manga/1/181427.jpg,7,False,1999-06-05T00:00:00+00:00,1999-09-04T00:00:00+00:00,6.15,498,906,3,2279
1834,Kekkon Shiyou yo,Let's Get Married!,https://cdn.myanimelist.net/images/manga/1/17075.jpg,20,False,2002-01-01T00:00:00+00:00,,7.34,1077,2365,9,4268
1836,Hidoi Otoko,Cruel Man,https://cdn.myanimelist.net/images/manga/1/19557.jpg,4,False,2005-01-01T00:00:00+00:00,,7.06,1574,2802,5,2534
1838,Wa!,,https://cdn.myanimelist.net/images/manga/1/3557.jpg,0,False,2002-01-01T00:00:00+00:00,2003-01-01T00:00:00+00:00,6.99,203,507,4,3200
1841,Witch Class,Witch Class,https://cdn.myanimelist.net/images/manga/1/10167.jpg,0,False,2005-01-01T00:00:00+00:00,,0.0,0,224,3,3198
1842,Cafe Occult,Cafe Occult,https://cdn.myanimelist.net/images/manga/1/10166.jpg,0,False,2004-01-01T00:00:00+00:00,,6.51,345,955,11,3199
1843,Macaroni,,https://cdn.myanimelist.net/images/manga/1/109357.jpg,10,False,2004-10-25T00:00:00+00:00,2005-08-25T00:00:00+00:00,7.28,395,744,3,3051
1844,Ousama★★Game,,https://cdn.myanimelist.net/images/manga/4/31849.jpg,6,False,2006-05-01T00:00:00+00:00,,7.45,1350,2715,8,2649
1845,Ouji-sama☆Game,,https://cdn.myanimelist.net/images/manga/1/186450.jpg,4,False,2002-12-28T00:00:00+00:00,2004-04-30T00:00:00+00:00,7.24,1440,2727,7,2649
1846,Renka,,https://cdn.myanimelist.net/images/manga/3/266568.jpg,3,False,1994-01-01T00:00:00+00:00,,6.62,510,1086,3,2922
1847,The Kidnapping of Minja Jo's Boyfriend,The Kidnapping of Minja Jo's Boyfriend,https://cdn.myanimelist.net/images/manga/3/5085.jpg,7,False,,,7.15,726,1345,0,2384
1848,Deep Love: Host,,https://cdn.myanimelist.net/images/manga/5/1995.jpg,6,False,2005-01-01T00:00:00+00:00,,7.63,3878,6523,23,2083
1850,Jinki:Extend,Jinki:Extend,https://cdn.myanimelist.net/images/manga/1/191935.jpg,53,False,2002-02-28T00:00:00+00:00,2006-06-30T00:00:00+00:00,6.73,113,510,0,2979
1851,Jinki,,https://cdn.myanimelist.net/images/manga/1/192045.jpg,16,False,2000-01-26T00:00:00+00:00,2001-10-26T00:00:00+00:00,0.0,0,386,0,2979
1852,Yorugata Aijin Senmonten Blood Hound DX,,https://cdn.myanimelist.net/images/manga/1/186858.jpg,5,False,2002-11-26T00:00:00+00:00,2010-06-25T00:00:00+00:00,6.84,2805,5650,18,2039
1853,Hells Angels,,https://cdn.myanimelist.net/images/manga/3/74619.jpg,21,False,2002-08-19T00:00:00+00:00,2004-04-19T00:00:00+00:00,6.9,780,2967,26,2486
1854,Hareluya,,https://cdn.myanimelist.net/images/manga/5/10451.jpg,10,False,1992-06-02T00:00:00+00:00,1992-08-04T00:00:00+00:00,6.93,738,1467,2,2585
1855,Otoko Hime to Mahou no Lamp,,https://cdn.myanimelist.net/images/manga/5/6575.jpg,3,False,,,7.14,624,1152,2,3042
1856,Rei Kai Bi Dan,Ostentatious Mysterious Handsome Man (from the Netherworld),https://cdn.myanimelist.net/images/manga/2/5704.jpg,4,False,2002-01-01T00:00:00+00:00,,6.81,572,1034,1,3042
1857,Hitomi: The Vision of Escaflowne,,https://cdn.myanimelist.net/images/manga/5/10385.jpg,10,False,1996-04-08T00:00:00+00:00,2007-01-18T00:00:00+00:00,6.27,428,1169,2,2197
1859,Natsume Yuujinchou,Natsume's Book of Friends,https://cdn.myanimelist.net/images/manga/3/260099.jpg,0,True,2003-06-10T00:00:00+00:00,,8.67,10422,41073,2085,3206
1860,Hiiro no Isu,,https://cdn.myanimelist.net/images/manga/3/257060.jpg,10,False,2001-12-08T00:00:00+00:00,2004-06-10T00:00:00+00:00,7.39,1006,2487,16,3206
1863,Kamakiri,,https://cdn.myanimelist.net/images/manga/5/15092.jpg,6,False,2001-06-01T00:00:00+00:00,,6.59,901,1738,4,3204
1865,Kanga na Spoon,,https://cdn.myanimelist.net/images/manga/2/2005.jpg,7,False,2006-01-01T00:00:00+00:00,,7.48,1696,2864,16,3142
1866,Full House Kiss,,https://cdn.myanimelist.net/images/manga/2/269922.jpg,28,False,2004-06-01T00:00:00+00:00,2008-01-25T00:00:00+00:00,7.46,2974,6324,27,3197
1867,0 no Soukoushi,Parfum Extrait 0,https://cdn.myanimelist.net/images/manga/3/2008.jpg,3,False,2004-08-11T00:00:00+00:00,2006-05-26T00:00:00+00:00,6.99,1629,3204,10,2039
1868,Phalene,Phalene,https://cdn.myanimelist.net/images/manga/2/10379.jpg,1,False,,,6.73,420,660,1,3207
