id1,id2,votes
54,20,3
54,3163,2
54,420,2
54,117328,2
54,5802,2
54,92,2
54,106,2
54,190,2
54,689,2
54,3097,2
55,3468,4
55,14236,3
55,6164,2
55,10874,2
55,738,1
55,76,1
55,1526,1
55,10578,1
55,176,1
55,2916,1
57,483,22
57,30,20
57,606,10
57,762,3
57,820,3
57,619,2
57,2459,2
57,13171,2
57,112700,2
57,391,2
58,820,6
58,3329,2
58,926,2
58,1171,1
58,19111,1
58,2698,1
58,878,1
58,3715,1
58,10818,1
58,1914,1
62,1202,1
65,4060,1
65,1931,1
65,3557,1
66,1505,1
67,19074,2
67,10890,1
67,2436,1
67,35061,1
68,3946,2
68,35013,1
68,3036,1
68,730,1
68,23052,1
69,165,1
69,3665,1
69,3127,1
69,12423,1
69,5723,1
69,8606,1
69,3052,1
70,2,8
70,44485,4
70,10376,3
70,106733,2
70,39281,2
70,67615,2
70,13801,2
70,595,2
70,736,2
70,86981,1
71,107,4
71,157,3
71,4228,2
71,5060,2
71,1978,2
71,45976,1
71,31,1
71,80,1
71,591,1
71,4392,1
72,706,1
73,8586,3
73,10249,2
73,74,2
73,2977,1
73,16791,1
73,28535,1
73,12,1
73,513,1
73,21452,1
73,496,1
74,1933,2
74,10010,2
74,35243,2
74,43,1
74,41,1
74,1722,1
74,3986,1
74,4614,1
74,3438,1
74,49,1
75,744,2
75,729,1
75,110,1
75,16,1
75,18321,1
75,430,1
75,12137,1
75,39335,1
75,42263,1
76,10578,2
76,16922,2
76,55,1
76,4011,1
76,863,1
76,14614,1
76,117954,1
76,10874,1
77,106,3
77,1660,1
77,83,1
77,907,1
77,90,1
77,71,1
77,67397,1
77,84,1
77,54,1
78,11939,1
78,710,1
78,10,1
78,551,1
78,975,1
78,1268,1
78,1724,1
78,1893,1
78,68053,1
79,974,11
79,923,10
79,12837,4
79,21525,4
79,2538,3
79,929,3
79,11896,3
79,5284,3
79,514,3
79,23091,2
80,106,2
80,71,1
80,107,1
80,119,1
80,101,1
80,117,1
80,4607,1
80,7728,1
80,1371,1
81,4,11
81,104,4
81,11061,4
81,107796,1
81,3008,1
81,78523,1
81,75929,1
81,58141,1
81,418,1
81,1766,1
83,21,2
83,824,2
83,826,2
83,655,2
83,448,2
83,923,2
83,2156,1
83,84,1
83,2611,1
83,199,1
84,676,3
84,21525,2
84,923,2
84,79,2
84,1146,2
84,77,1
84,1490,1
84,306,1
84,83,1
84,157,1
85,104,12
85,3082,4
85,13001,3
85,160,2
85,587,2
85,97699,2
85,13634,1
85,1362,1
85,371,1
85,413,1
86,36,3
86,8,3
86,306,2
86,106,2
86,21525,2
86,84,1
86,1113,1
87,1859,3
87,133,1
87,16739,1
87,5113,1
87,5454,1
87,105084,1
88,107,1
88,11620,1
89,1594,1
89,4354,1
89,26099,1
90,5255,3
90,10270,2
90,710,1
90,107,1
90,1365,1
90,108,1
90,18222,1
90,77,1
90,456,1
90,19432,1
91,18,4
91,766,4
91,165,3
91,3694,3
91,3665,2
91,3381,1
91,829,1
91,5256,1
91,308,1
91,51115,1
92,119,4
92,554,3
92,36,3
92,24457,3
92,8908,2
92,54,2
92,101,2
92,655,2
92,396,2
92,190,1
94,36,4
94,1804,2
94,513,1
94,1528,1
94,2145,1
94,552,1
94,46,1
94,438,1
94,40813,1
94,54,1
97,107,6
97,78649,1
97,325,1
97,446,1
97,110,1
98,99,2
98,115730,2
98,457,1
98,3498,1
98,37,1
98,11728,1
98,10149,1
98,107,1
98,3980,1
98,14770,1
99,21,3
99,3866,3
99,13558,2
99,27,2
99,98,2
99,101,2
99,3522,1
99,746,1
99,1465,1
99,5430,1
101,429,3
101,329,3
101,414,3
101,106,2
101,554,2
101,956,2
101,92,2
101,320,2
101,10386,2
101,99,2
102,8,9
102,411,7
102,8157,7
102,320,6
102,14236,5
102,37,4
102,2923,4
102,5255,4
102,106,4
102,80907,4
103,3715,2
103,610,2
103,10776,1
103,164,1
103,30,1
103,58,1
103,2686,1
103,5901,1
103,2699,1
103,3329,1
104,85,12
104,21676,9
104,119161,6
104,17051,5
104,105399,4
104,4,4
104,81,4
104,46258,4
104,3468,4
104,81467,3
105,5664,4
105,676,3
105,24,2
105,13492,2
105,12,2
105,25,2
105,588,1
105,1102,1
105,11961,1
105,40085,1
106,320,6
106,36,5
106,102,4
106,118,4
106,9,4
106,77,3
106,190,3
106,271,2
106,35,2
106,54,2
107,71,4
107,755,3
107,933,3
107,572,2
107,110,2
107,40865,1
107,463,1
107,6424,1
107,9832,1
107,501,1
108,10,5
108,918,2
108,9,1
108,27,1
108,90,1
108,907,1
108,573,1
108,4623,1
108,309,1
108,133,1
109,118,2
109,33,2
109,113,1
109,538,1
109,107,1
109,500,1
110,16,4
110,446,3
110,107,2
110,755,2
110,671,1
111,3414,1
112,14073,1
112,736,1
113,133,2
113,107,1
113,1406,1
113,9210,1
113,109,1
113,19109,1
113,25322,1
113,14550,1
113,1325,1
113,10,1
114,9,2
114,982,2
114,908,2
114,8299,1
114,4650,1
114,14922,1
114,102335,1
116,8456,1
116,580,1
116,23718,1
117,8456,4
117,80,1
117,580,1
117,80533,1
118,106,4
118,33,3
118,102,3
118,109,2
118,104,1
118,5775,1
118,26021,1
118,7144,1
118,8583,1
118,10,1
119,9,4
119,92,4
119,24457,3
119,306,2
119,80,1
119,216,1
119,464,1
119,554,1
119,106,1
119,7857,1
124,4,1
124,1440,1
124,11061,1
124,3321,1
124,110771,1
125,324,1
125,976,1
126,19135,1
127,92,1
128,10,6
128,551,3
128,322,2
128,1193,1
128,21,1
128,38,1
128,1464,1
128,1893,1
128,975,1
128,32151,1
130,1061,1
130,1414,1
130,792,1
130,30,1
130,7269,1
132,1045,1
133,918,3
133,500,2
133,113,2
133,689,2
133,1097,2
133,1236,2
133,297,2
133,10,2
133,9,2
133,87,1
134,136,3
134,26,2
134,32,2
134,326,2
134,6032,1
134,14036,1
134,3407,1
134,14,1
134,7265,1
134,10796,1
136,134,3
136,53,3
136,22,2
136,11,2
136,410,1
136,500,1
136,3438,1
136,8341,1
136,3565,1
136,326,1
140,11416,1
141,496,1
142,564,12
142,12586,8
142,584,6
142,5293,5
142,24836,3
142,33031,2
142,221,2
142,8446,2
142,1649,2
142,11434,2
143,3306,1
143,1406,1
143,3326,1
143,8990,1
143,958,1
144,446,1
145,3731,6
145,67019,5
145,28,4
145,28393,3
145,9711,3
145,45143,2
145,1741,2
145,2976,2
145,1735,2
145,644,2
149,72467,9
149,1409,5
149,564,4
149,1400,3
149,1133,3
149,768,3
149,1470,3
149,664,2
149,98270,2
149,13723,2
151,5227,1
